episode,reward,total_burned,epsilon,steps,q_table_size
766,-393.0,453,0.05,23,1514
767,-323.0,373,0.05,22,1514
768,-404.0,458,0.05,25,1515
769,-419.0,475,0.05,25,1515
770,-415.0,477,0.05,29,1515
771,-314.0,370,0.05,23,1516
772,-4.0,16,0.05,8,1516
773,-390.0,454,0.05,27,1516
774,-435.0,491,0.05,27,1516
775,1.0,5,0.05,3,1516
776,4.0,2,0.05,2,1516
777,3.0,1,0.05,2,1516
778,-484.0,546,0.05,25,1517
779,2.0,2,0.05,2,1517
780,0.0,16,0.05,6,1517
781,-1.0,9,0.05,4,1517
782,3.0,1,0.05,2,1517
783,-296.0,348,0.05,22,1517
784,3.0,1,0.05,2,1517
785,-425.0,475,0.05,23,1518
786,-328.0,404,0.05,29,1524
787,-288.0,350,0.05,21,1524
788,-260.0,334,0.05,30,1530
789,-399.0,451,0.05,21,1531
790,-372.0,428,0.05,26,1531
791,-455.0,515,0.05,24,1531
792,-333.0,401,0.05,26,1531
793,-393.0,445,0.05,23,1531
794,3.0,3,0.05,2,1531
795,-362.0,426,0.05,26,1531
796,-381.0,423,0.05,19,1533
797,-234.0,276,0.05,27,1536
798,0.0,8,0.05,5,1536
799,-94.0,124,0.05,20,1539
800,3.0,3,0.05,2,1539
