episode,reward,total_burned,epsilon,steps,q_table_size
179,-474.0,534,0.4077,26,744
180,-2.0,12,0.4057,5,744
181,3.0,9,0.4036,5,744
182,-355.0,415,0.4016,23,746
183,-282.0,326,0.3996,23,746
184,-295.0,339,0.3976,23,753
185,-411.0,467,0.3956,25,754
186,-354.0,404,0.3936,28,757
187,3.0,5,0.3917,3,757
188,-439.0,509,0.3897,27,758
189,-391.0,445,0.3878,29,761
190,-315.0,361,0.3858,23,763
191,-375.0,433,0.3839,25,763
192,-386.0,454,0.382,25,763
193,3.0,1,0.3801,2,763
194,-344.0,388,0.3782,26,767
195,-495.0,545,0.3763,24,767
196,-419.0,459,0.3744,23,768
197,-394.0,430,0.3725,21,771
198,3.0,5,0.3707,3,771
199,-480.0,542,0.3688,35,771
200,2.0,2,0.367,2,771
201,-287.0,345,0.3651,25,772
202,-426.0,480,0.3633,31,775
203,-251.0,301,0.3615,24,783
204,-366.0,410,0.3597,23,783
205,-355.0,411,0.3579,50,792
206,-313.0,381,0.3561,30,793
207,-372.0,418,0.3543,22,794
208,-374.0,430,0.3525,28,796
209,-438.0,486,0.3508,24,797
210,-423.0,469,0.349,23,799
211,-225.0,267,0.3473,20,803
212,-440.0,494,0.3455,29,803
213,-380.0,430,0.3438,23,803
214,-407.0,457,0.3421,26,803
215,-359.0,421,0.3404,33,810
216,-291.0,341,0.3387,25,810
217,-361.0,401,0.337,26,810
218,-423.0,473,0.3353,31,814
219,3.0,5,0.3336,4,814
220,-347.0,405,0.332,25,816
221,-401.0,467,0.3303,28,816
222,4.0,2,0.3286,2,816
223,-296.0,350,0.327,28,821
224,5.0,3,0.3254,2,821
225,2.0,4,0.3237,2,821
226,-369.0,429,0.3221,26,823
227,-372.0,428,0.3205,31,827
228,-331.0,377,0.3189,24,830
229,3.0,7,0.3173,4,830
230,-127.0,153,0.3157,17,834
231,-387.0,449,0.3141,25,834
232,-496.0,548,0.3126,26,835
233,-401.0,455,0.311,25,837
234,-365.0,421,0.3095,32,845
235,-227.0,285,0.3079,20,848
236,-511.0,567,0.3064,26,851
237,2.0,14,0.3048,5,851
238,-394.0,448,0.3033,26,852
239,-350.0,406,0.3018,24,853
240,-266.0,320,0.3003,28,856
241,-422.0,480,0.2988,21,856
242,-399.0,449,0.2973,22,856
243,-347.0,395,0.2958,21,858
244,-367.0,423,0.2943,28,858
245,-415.0,463,0.2929,26,858
246,-379.0,439,0.2914,28,859
247,-425.0,475,0.2899,23,860
248,1.0,17,0.2885,8,860
249,-456.0,512,0.287,24,862
250,3.0,3,0.2856,3,862
