episode,reward,total_burned,epsilon,steps,q_table_size
97,-352.0,402,0.3772,19,579
98,-250.0,292,0.3735,21,584
99,-390.0,440,0.3697,21,587
100,-346.0,384,0.366,22,592
101,-455.0,507,0.3624,26,592
102,-372.0,420,0.3587,22,595
103,-381.0,435,0.3552,29,598
104,-305.0,369,0.3516,27,605
105,-295.0,345,0.3481,23,615
106,-422.0,468,0.3446,22,617
107,-134.0,164,0.3412,17,624
108,-358.0,400,0.3378,23,624
109,-329.0,375,0.3344,21,627
110,-339.0,387,0.331,21,629
111,-342.0,394,0.3277,23,635
112,-518.0,564,0.3244,25,636
113,-417.0,465,0.3212,21,639
114,-300.0,344,0.318,28,647
115,-412.0,472,0.3148,26,648
116,-329.0,383,0.3117,29,653
117,-409.0,457,0.3085,22,654
118,-72.0,84,0.3055,14,656
119,-329.0,367,0.3024,18,658
120,-378.0,434,0.2994,24,661
121,-353.0,419,0.2964,25,666
122,-278.0,340,0.2934,25,666
123,-239.0,285,0.2905,21,669
124,-346.0,402,0.2876,23,673
125,-414.0,462,0.2847,21,674
126,-223.0,275,0.2819,24,679
127,-398.0,440,0.279,21,680
128,-369.0,417,0.2763,19,682
129,-296.0,354,0.2735,26,683
130,-418.0,470,0.2708,26,685
131,-368.0,414,0.268,25,686
132,-332.0,378,0.2654,22,688
133,-343.0,399,0.2627,22,691
134,-412.0,466,0.2601,23,696
135,-222.0,260,0.2575,23,703
136,-357.0,407,0.2549,21,703
137,-370.0,424,0.2524,21,706
138,-383.0,437,0.2498,27,707
139,-362.0,412,0.2473,18,709
140,-280.0,326,0.2449,20,711
141,-359.0,419,0.2424,21,713
142,-379.0,421,0.24,17,715
143,-388.0,434,0.2376,20,716
144,-327.0,375,0.2352,20,718
145,-375.0,433,0.2329,26,718
146,-370.0,424,0.2305,23,719
147,-276.0,330,0.2282,21,720
148,-528.0,580,0.2259,27,720
149,-279.0,339,0.2237,25,723
150,-343.0,401,0.2215,23,724
151,-253.0,289,0.2192,21,730
152,-398.0,456,0.217,23,731
153,-205.0,237,0.2149,18,736
154,-426.0,484,0.2127,25,737
155,-419.0,473,0.2106,23,739
156,-384.0,428,0.2085,20,739
157,-345.0,393,0.2064,18,741
158,-349.0,397,0.2043,32,748
159,-288.0,330,0.2023,20,749
160,-285.0,337,0.2003,25,758
161,-440.0,496,0.1983,22,760
162,-340.0,386,0.1963,24,760
163,-398.0,450,0.1943,22,763
164,-398.0,464,0.1924,26,763
165,-381.0,429,0.1905,19,763
166,-259.0,297,0.1886,24,772
167,-397.0,449,0.1867,22,773
168,-309.0,369,0.1848,23,779
169,-414.0,466,0.183,26,781
170,-431.0,481,0.1811,23,781
171,-423.0,465,0.1793,21,782
172,-401.0,455,0.1775,23,783
173,-317.0,377,0.1757,23,785
174,-277.0,311,0.174,18,790
175,-321.0,371,0.1722,23,790
176,-408.0,462,0.1705,21,791
177,-335.0,397,0.1688,31,796
178,-225.0,297,0.1671,32,810
179,-304.0,354,0.1655,24,813
180,-437.0,493,0.1638,26,815
181,-343.0,399,0.1622,25,816
182,-348.0,404,0.1605,23,820
183,-462.0,508,0.1589,24,822
184,-405.0,455,0.1574,20,824
185,-370.0,428,0.1558,22,824
186,-398.0,442,0.1542,21,826
187,-338.0,382,0.1527,25,826
188,-360.0,408,0.1512,20,827
189,-369.0,415,0.1496,22,827
190,-195.0,237,0.1481,26,834
191,-321.0,369,0.1467,23,837
192,-404.0,442,0.1452,19,837
193,-391.0,453,0.1437,23,839
194,-342.0,394,0.1423,29,843
195,-344.0,398,0.1409,19,844
196,-432.0,490,0.1395,22,844
197,-339.0,395,0.1381,23,845
198,-146.0,186,0.1367,27,849
199,-392.0,446,0.1353,21,850
200,-357.0,413,0.134,25,851
201,-393.0,447,0.1326,25,851
202,-374.0,440,0.1313,30,853
203,-447.0,493,0.13,24,854
204,-417.0,473,0.1287,27,854
205,-379.0,423,0.1274,24,854
206,-428.0,470,0.1261,24,856
207,-313.0,353,0.1249,18,858
208,-402.0,448,0.1236,23,859
209,-399.0,455,0.1224,24,860
210,-368.0,426,0.1212,26,861
211,-325.0,373,0.12,19,862
212,-354.0,404,0.1188,20,863
213,-302.0,348,0.1176,25,872
214,-302.0,344,0.1164,19,873
215,-420.0,468,0.1152,22,876
216,-391.0,441,0.1141,23,876
217,-334.0,376,0.1129,19,876
218,-391.0,441,0.1118,20,878
219,-386.0,432,0.1107,20,879
220,-367.0,421,0.1096,20,879
221,-341.0,387,0.1085,19,879
222,-199.0,247,0.1074,20,882
223,-371.0,419,0.1063,20,882
224,-330.0,392,0.1053,26,885
225,-426.0,476,0.1042,24,886
226,-394.0,456,0.1032,23,889
227,-328.0,384,0.1021,20,889
228,-398.0,450,0.1011,21,889
229,-406.0,460,0.1001,22,891
230,-418.0,462,0.0991,20,893
231,-176.0,206,0.0981,21,897
232,-475.0,525,0.0971,22,898
233,-441.0,487,0.0962,21,898
234,-427.0,473,0.0952,22,899
235,-218.0,270,0.0942,19,906
236,-325.0,371,0.0933,21,908
237,-311.0,373,0.0924,20,910
238,-285.0,339,0.0914,26,912
239,-367.0,413,0.0905,21,913
240,-377.0,425,0.0896,23,915
241,-256.0,320,0.0887,25,917
242,-365.0,407,0.0878,19,917
243,-324.0,384,0.087,23,918
244,-381.0,441,0.0861,24,919
245,-317.0,359,0.0852,20,920
246,-427.0,479,0.0844,20,922
247,-323.0,375,0.0835,23,924
248,-436.0,488,0.0827,22,924
249,-349.0,411,0.0819,25,924
250,-412.0,462,0.0811,24,924
251,-343.0,403,0.0802,23,925
252,-371.0,413,0.0794,19,925
253,-226.0,262,0.0787,18,930
254,-391.0,443,0.0779,24,930
255,-348.0,394,0.0771,18,931
256,-390.0,446,0.0763,21,933
257,-431.0,493,0.0756,22,935
258,-196.0,232,0.0748,17,935
259,-377.0,429,0.074,21,936
260,-293.0,351,0.0733,27,946
261,-318.0,376,0.0726,19,947
262,3.0,9,0.0718,4,947
263,-336.0,386,0.0711,21,948
264,-330.0,378,0.0704,22,949
265,-183.0,207,0.0697,15,951
266,-398.0,456,0.069,22,952
267,-406.0,456,0.0683,25,953
268,-351.0,401,0.0676,28,957
269,-240.0,268,0.067,15,962
270,-218.0,256,0.0663,19,968
271,-264.0,318,0.0656,18,970
272,-428.0,476,0.065,22,972
273,-397.0,443,0.0643,21,972
274,-361.0,421,0.0637,20,974
275,-380.0,440,0.063,20,974
276,-378.0,422,0.0624,20,974
277,-117.0,141,0.0618,19,974
278,-366.0,422,0.0612,25,976
279,-283.0,335,0.0606,28,983
280,-335.0,381,0.06,21,983
281,-370.0,420,0.0594,23,984
282,-422.0,472,0.0588,24,988
283,-331.0,373,0.0582,20,988
284,-423.0,469,0.0576,24,988
285,-442.0,488,0.057,24,988
286,-200.0,232,0.0565,24,998
287,-357.0,407,0.0559,21,998
288,-416.0,466,0.0553,23,1002
289,-364.0,400,0.0548,19,1003
290,-433.0,489,0.0542,24,1005
291,-380.0,446,0.0537,30,1006
292,-276.0,328,0.0531,22,1006
293,-178.0,226,0.0526,18,1008
294,-364.0,412,0.0521,18,1009
295,-304.0,352,0.0516,21,1010
296,-515.0,565,0.0511,22,1011
297,-396.0,444,0.0505,21,1011
298,-335.0,375,0.05,20,1012
299,-303.0,343,0.0495,24,1012
300,-278.0,340,0.049,25,1017
301,-436.0,488,0.0486,21,1018
302,-357.0,411,0.0481,24,1019
303,-364.0,412,0.0476,20,1020
304,-377.0,435,0.0471,21,1021
305,-293.0,341,0.0466,31,1026
306,-317.0,373,0.0462,30,1031
307,-321.0,383,0.0457,24,1033
308,-419.0,463,0.0453,19,1034
309,-395.0,445,0.0448,21,1034
310,-258.0,284,0.0444,23,1039
311,-299.0,353,0.0439,21,1041
312,-356.0,402,0.0435,22,1041
313,-378.0,434,0.043,22,1041
314,-385.0,443,0.0426,25,1041
315,-271.0,315,0.0422,17,1043
316,-412.0,458,0.0418,19,1043
317,-390.0,444,0.0413,22,1044
318,-346.0,392,0.0409,18,1046
319,-427.0,479,0.0405,23,1046
320,-419.0,473,0.0401,21,1046
321,-412.0,444,0.0397,20,1049
322,-353.0,409,0.0393,24,1051
323,-252.0,310,0.0389,22,1053
324,-421.0,471,0.0385,22,1053
325,-380.0,426,0.0381,19,1053
326,-335.0,373,0.0378,19,1054
327,-414.0,472,0.0374,27,1056
328,-370.0,420,0.037,27,1058
329,-361.0,419,0.0366,21,1060
330,-336.0,396,0.0363,26,1061
331,-300.0,364,0.0359,31,1063
332,-396.0,452,0.0356,21,1065
333,-312.0,378,0.0352,24,1066
334,-390.0,440,0.0348,19,1068
335,-337.0,383,0.0345,27,1074
336,-335.0,373,0.0342,23,1076
337,-437.0,497,0.0338,25,1076
338,-352.0,406,0.0335,27,1082
339,-375.0,443,0.0331,23,1084
340,-403.0,461,0.0328,22,1086
341,-358.0,426,0.0325,29,1086
342,-134.0,166,0.0322,18,1093
343,-394.0,442,0.0318,21,1093
344,-369.0,417,0.0315,25,1094
345,-388.0,436,0.0312,21,1095
346,-298.0,334,0.0309,19,1099
347,-356.0,396,0.0306,19,1101
348,-157.0,203,0.0303,22,1107
349,-309.0,357,0.03,20,1111
350,-420.0,470,0.03,21,1111
351,-413.0,455,0.03,25,1111
352,-402.0,454,0.03,21,1111
353,-370.0,434,0.03,25,1112
354,-9.0,23,0.03,12,1112
355,-418.0,476,0.03,23,1113
356,-281.0,331,0.03,29,1115
357,-269.0,301,0.03,21,1123
358,-442.0,492,0.03,20,1124
359,-286.0,332,0.03,25,1129
360,-195.0,223,0.03,16,1133
361,-233.0,273,0.03,20,1138
362,-362.0,422,0.03,21,1138
363,-413.0,463,0.03,19,1139
364,-389.0,439,0.03,19,1140
365,-389.0,435,0.03,22,1142
366,-256.0,302,0.03,19,1149
367,-346.0,406,0.03,22,1149
368,-454.0,512,0.03,22,1150
369,-373.0,419,0.03,21,1152
370,-367.0,415,0.03,20,1153
371,-403.0,453,0.03,25,1153
372,-352.0,402,0.03,21,1155
373,-356.0,406,0.03,21,1157
374,-226.0,256,0.03,16,1159
375,3.0,1,0.03,1,1159
376,-436.0,480,0.03,20,1159
377,-457.0,509,0.03,21,1161
378,-287.0,335,0.03,18,1161
379,-345.0,383,0.03,19,1161
380,-404.0,454,0.03,24,1161
381,-384.0,428,0.03,21,1162
382,-276.0,320,0.03,21,1164
383,-357.0,407,0.03,23,1165
384,-277.0,319,0.03,20,1167
385,-351.0,397,0.03,21,1168
386,-160.0,192,0.03,18,1172
387,-274.0,330,0.03,22,1173
388,-368.0,422,0.03,21,1174
389,-335.0,375,0.03,17,1174
390,-346.0,404,0.03,22,1174
391,-395.0,445,0.03,22,1174
392,-6.0,12,0.03,10,1174
393,-382.0,428,0.03,20,1178
394,-365.0,411,0.03,22,1179
395,-254.0,300,0.03,21,1182
396,-321.0,369,0.03,21,1186
397,-405.0,455,0.03,22,1186
398,-421.0,477,0.03,22,1187
399,-374.0,416,0.03,22,1187
400,-347.0,403,0.03,26,1187
401,-274.0,328,0.03,22,1189
402,-396.0,440,0.03,18,1189
403,-332.0,390,0.03,23,1189
404,-406.0,466,0.03,30,1190
405,-412.0,456,0.03,22,1190
406,-409.0,457,0.03,25,1190
407,-362.0,404,0.03,22,1193
408,-342.0,394,0.03,19,1194
409,-352.0,400,0.03,19,1194
410,-334.0,394,0.03,29,1194
411,-301.0,351,0.03,21,1196
412,-382.0,436,0.03,25,1197
413,-278.0,322,0.03,19,1199
414,-349.0,405,0.03,19,1199
415,-305.0,357,0.03,23,1202
416,-327.0,373,0.03,22,1202
417,-375.0,415,0.03,25,1206
418,-441.0,491,0.03,23,1206
419,-399.0,451,0.03,19,1206
420,-338.0,396,0.03,20,1207
421,-305.0,373,0.03,22,1208
422,-357.0,413,0.03,23,1209
423,-372.0,424,0.03,22,1211
424,5.0,5,0.03,4,1211
425,-295.0,347,0.03,23,1217
426,-160.0,190,0.03,19,1219
427,-351.0,393,0.03,21,1219
428,-382.0,434,0.03,20,1220
429,-282.0,346,0.03,28,1222
430,-117.0,155,0.03,21,1227
431,-436.0,490,0.03,24,1227
432,-393.0,439,0.03,18,1227
433,-339.0,389,0.03,21,1228
434,-319.0,379,0.03,23,1229
435,-140.0,158,0.03,16,1230
436,-372.0,408,0.03,20,1230
437,-474.0,516,0.03,24,1230
438,-260.0,304,0.03,17,1231
439,-393.0,451,0.03,22,1231
440,-233.0,291,0.03,27,1234
441,-380.0,430,0.03,21,1235
442,-289.0,329,0.03,20,1236
443,-371.0,415,0.03,19,1236
444,-332.0,394,0.03,23,1236
445,-335.0,381,0.03,23,1236
446,-374.0,426,0.03,20,1236
447,-323.0,367,0.03,20,1236
448,-415.0,469,0.03,22,1237
449,-288.0,336,0.03,22,1237
450,-428.0,484,0.03,24,1237
451,-316.0,366,0.03,27,1240
452,-319.0,359,0.03,18,1240
453,-360.0,402,0.03,21,1240
454,-352.0,410,0.03,23,1240
455,-154.0,182,0.03,15,1240
456,-394.0,450,0.03,24,1240
457,-418.0,474,0.03,29,1240
458,-367.0,409,0.03,19,1240
459,-366.0,410,0.03,19,1240
460,-368.0,420,0.03,22,1240
461,-291.0,343,0.03,23,1243
462,-443.0,505,0.03,27,1248
463,-366.0,418,0.03,22,1249
464,-320.0,374,0.03,24,1249
465,-327.0,381,0.03,21,1250
466,-235.0,283,0.03,18,1251
467,-267.0,317,0.03,21,1251
468,-340.0,394,0.03,25,1252
469,-313.0,355,0.03,21,1252
470,-343.0,397,0.03,22,1253
471,-510.0,574,0.03,24,1253
472,-346.0,390,0.03,17,1253
473,-365.0,419,0.03,18,1253
474,-286.0,332,0.03,19,1254
475,-479.0,531,0.03,23,1255
476,-369.0,423,0.03,22,1256
477,-345.0,407,0.03,24,1261
478,-264.0,324,0.03,19,1263
479,-265.0,293,0.03,18,1267
480,-311.0,363,0.03,22,1268
481,-434.0,482,0.03,23,1271
482,-480.0,534,0.03,25,1271
483,-255.0,297,0.03,17,1276
484,-397.0,443,0.03,20,1278
485,-369.0,421,0.03,22,1279
486,-356.0,400,0.03,24,1283
487,-392.0,432,0.03,18,1283
488,-379.0,437,0.03,19,1283
489,-492.0,546,0.03,24,1283
490,-410.0,460,0.03,23,1283
491,-312.0,358,0.03,19,1286
492,-352.0,406,0.03,22,1287
493,-330.0,382,0.03,21,1287
494,-365.0,423,0.03,24,1288
495,-399.0,449,0.03,20,1289
496,-424.0,474,0.03,22,1290
497,-424.0,470,0.03,25,1291
498,-426.0,486,0.03,27,1291
499,-444.0,496,0.03,21,1292
500,-354.0,408,0.03,20,1292
501,-368.0,424,0.03,26,1292
502,-449.0,505,0.03,25,1293
503,-381.0,429,0.03,22,1294
504,-384.0,432,0.03,21,1295
505,-348.0,398,0.03,27,1295
506,-212.0,262,0.03,24,1300
507,-321.0,377,0.03,19,1301
508,-309.0,361,0.03,20,1302
509,-340.0,390,0.03,23,1303
510,-347.0,383,0.03,17,1304
511,-363.0,409,0.03,22,1305
512,-339.0,393,0.03,32,1312
513,-350.0,404,0.03,21,1313
514,-364.0,418,0.03,24,1313
515,-402.0,440,0.03,19,1315
516,-387.0,427,0.03,20,1315
517,-216.0,252,0.03,19,1317
518,-366.0,430,0.03,22,1319
519,-345.0,397,0.03,21,1319
520,-266.0,302,0.03,23,1326
521,-225.0,287,0.03,26,1327
522,-381.0,435,0.03,22,1329
523,-436.0,490,0.03,22,1329
524,-318.0,364,0.03,17,1330
525,-324.0,372,0.03,19,1331
526,-384.0,442,0.03,26,1332
527,-350.0,386,0.03,19,1334
528,-389.0,445,0.03,21,1334
529,-363.0,411,0.03,20,1334
530,-379.0,425,0.03,23,1335
531,-384.0,432,0.03,24,1335
532,-396.0,446,0.03,21,1336
533,-397.0,451,0.03,25,1336
534,-426.0,486,0.03,24,1337
535,-299.0,373,0.03,27,1338
536,-490.0,548,0.03,25,1339
537,-337.0,395,0.03,21,1339
538,-430.0,486,0.03,21,1339
539,-414.0,462,0.03,19,1341
540,-360.0,406,0.03,23,1341
541,-347.0,401,0.03,23,1341
542,-376.0,426,0.03,24,1341
543,-432.0,482,0.03,21,1342
544,-263.0,321,0.03,26,1347
545,-379.0,427,0.03,22,1347
546,-408.0,452,0.03,21,1348
547,-327.0,379,0.03,24,1349
548,-401.0,447,0.03,20,1350
549,-285.0,329,0.03,19,1350
550,-321.0,365,0.03,20,1351
551,-426.0,476,0.03,21,1354
552,-399.0,447,0.03,19,1354
553,-263.0,317,0.03,21,1355
554,-377.0,435,0.03,26,1358
555,-306.0,364,0.03,23,1363
556,-308.0,350,0.03,20,1363
557,-310.0,366,0.03,22,1363
558,-295.0,361,0.03,29,1365
559,-227.0,271,0.03,19,1371
560,-416.0,468,0.03,22,1372
561,-273.0,331,0.03,19,1372
562,-387.0,435,0.03,19,1374
563,-390.0,454,0.03,23,1374
564,-361.0,413,0.03,24,1375
565,-481.0,533,0.03,22,1376
566,-345.0,411,0.03,36,1379
567,-279.0,323,0.03,18,1379
568,-397.0,453,0.03,26,1379
569,-422.0,486,0.03,27,1382
570,-434.0,480,0.03,22,1382
571,-327.0,383,0.03,26,1382
572,-281.0,347,0.03,31,1383
573,-422.0,466,0.03,21,1384
574,-339.0,385,0.03,18,1384
575,-364.0,414,0.03,25,1384
576,1.0,5,0.03,3,1384
577,-442.0,492,0.03,21,1384
578,-383.0,433,0.03,20,1384
579,3.0,3,0.03,2,1384
580,-361.0,407,0.03,21,1384
581,-405.0,441,0.03,18,1385
582,-387.0,447,0.03,24,1386
583,-397.0,451,0.03,24,1386
584,2.0,6,0.03,3,1386
585,-293.0,347,0.03,24,1386
586,-130.0,160,0.03,23,1390
587,-378.0,432,0.03,20,1390
588,-293.0,353,0.03,32,1396
589,-440.0,488,0.03,25,1397
590,-372.0,414,0.03,20,1397
591,-341.0,387,0.03,22,1397
592,-396.0,434,0.03,18,1398
593,-273.0,317,0.03,19,1399
594,-313.0,361,0.03,25,1403
595,-209.0,263,0.03,22,1406
596,-394.0,452,0.03,22,1407
597,-443.0,495,0.03,24,1407
598,-329.0,389,0.03,25,1408
599,-442.0,484,0.03,25,1408
600,-470.0,522,0.03,28,1409
601,-460.0,508,0.03,21,1410
602,-268.0,318,0.03,17,1410
603,-409.0,463,0.03,24,1412
604,-311.0,361,0.03,19,1413
605,-405.0,465,0.03,22,1413
606,-380.0,432,0.03,22,1413
607,-488.0,548,0.03,26,1413
608,-399.0,461,0.03,27,1414
609,-412.0,468,0.03,22,1414
610,-255.0,297,0.03,18,1418
611,-410.0,458,0.03,25,1418
612,-352.0,408,0.03,26,1418
613,-360.0,418,0.03,26,1418
614,-410.0,472,0.03,24,1418
615,-405.0,461,0.03,18,1419
616,-385.0,435,0.03,19,1420
617,-367.0,417,0.03,23,1421
618,-318.0,380,0.03,22,1421
619,-366.0,420,0.03,24,1421
620,-443.0,493,0.03,20,1424
621,-203.0,229,0.03,17,1428
622,-388.0,442,0.03,23,1429
623,-385.0,433,0.03,20,1429
624,-375.0,425,0.03,24,1429
625,-383.0,431,0.03,24,1429
626,-335.0,389,0.03,22,1429
627,-345.0,401,0.03,19,1429
628,-336.0,390,0.03,22,1430
629,-259.0,303,0.03,29,1437
630,-338.0,398,0.03,24,1438
631,-281.0,333,0.03,25,1439
632,-319.0,367,0.03,22,1439
633,-428.0,472,0.03,18,1439
634,-399.0,445,0.03,28,1443
635,-365.0,417,0.03,24,1443
636,-341.0,387,0.03,32,1452
637,-419.0,463,0.03,20,1453
638,-313.0,371,0.03,26,1454
639,-228.0,274,0.03,26,1464
640,-378.0,434,0.03,21,1464
641,-417.0,471,0.03,24,1465
642,-342.0,404,0.03,27,1465
643,-334.0,378,0.03,19,1467
644,-346.0,396,0.03,22,1467
645,-224.0,268,0.03,18,1468
646,-364.0,414,0.03,22,1468
647,-172.0,202,0.03,16,1471
648,-243.0,303,0.03,23,1475
649,-340.0,386,0.03,19,1475
650,-385.0,437,0.03,24,1476
651,-498.0,550,0.03,23,1476
652,-301.0,347,0.03,22,1478
653,-359.0,421,0.03,22,1478
654,-391.0,437,0.03,21,1478
655,-232.0,268,0.03,18,1483
656,-175.0,211,0.03,16,1483
657,-459.0,501,0.03,22,1484
658,-380.0,438,0.03,22,1485
659,-426.0,474,0.03,21,1485
660,-319.0,373,0.03,20,1485
661,-353.0,397,0.03,24,1485
662,-412.0,470,0.03,23,1485
663,-268.0,328,0.03,29,1488
664,-308.0,356,0.03,20,1488
665,-393.0,451,0.03,23,1488
666,-322.0,374,0.03,30,1490
667,-339.0,401,0.03,24,1490
668,-354.0,416,0.03,23,1490
669,-244.0,288,0.03,22,1491
670,-290.0,330,0.03,21,1497
671,-388.0,442,0.03,25,1498
672,-176.0,214,0.03,18,1498
673,-416.0,472,0.03,23,1498
674,-447.0,499,0.03,21,1498
675,-404.0,446,0.03,21,1498
676,-434.0,480,0.03,20,1498
677,-366.0,416,0.03,22,1498
678,-242.0,270,0.03,20,1504
679,-276.0,332,0.03,23,1505
680,-377.0,429,0.03,21,1506
681,-339.0,401,0.03,27,1508
682,-381.0,429,0.03,23,1509
683,-381.0,441,0.03,23,1509
684,-321.0,387,0.03,28,1511
685,-298.0,362,0.03,28,1511
686,-228.0,280,0.03,24,1514
687,-364.0,420,0.03,21,1514
688,-354.0,410,0.03,21,1514
689,-363.0,421,0.03,21,1514
690,-351.0,407,0.03,19,1514
691,-178.0,196,0.03,16,1514
692,-262.0,294,0.03,18,1516
693,-382.0,422,0.03,17,1516
694,-334.0,378,0.03,20,1516
695,-421.0,463,0.03,20,1516
696,-406.0,460,0.03,24,1516
697,-433.0,479,0.03,27,1516
698,-408.0,446,0.03,21,1517
699,-312.0,350,0.03,22,1517
700,-428.0,478,0.03,21,1517
701,-408.0,454,0.03,21,1517
702,-348.0,402,0.03,22,1517
703,-266.0,310,0.03,23,1518
704,-330.0,380,0.03,22,1518
705,-309.0,347,0.03,18,1521
706,-355.0,403,0.03,23,1521
707,-372.0,422,0.03,21,1521
708,-305.0,361,0.03,24,1521
709,-314.0,362,0.03,20,1522
710,-361.0,417,0.03,27,1523
711,-142.0,176,0.03,19,1526
712,-305.0,355,0.03,22,1526
713,-300.0,352,0.03,20,1527
714,-401.0,453,0.03,24,1527
715,-223.0,279,0.03,22,1527
716,-318.0,366,0.03,19,1530
717,-286.0,338,0.03,21,1531
718,-456.0,508,0.03,25,1531
719,-388.0,438,0.03,22,1531
720,-458.0,512,0.03,21,1532
721,-324.0,370,0.03,22,1532
722,-309.0,369,0.03,24,1534
723,-447.0,507,0.03,23,1534
724,-342.0,390,0.03,19,1534
725,-357.0,405,0.03,19,1534
726,-339.0,385,0.03,19,1534
727,-371.0,415,0.03,20,1534
728,-183.0,211,0.03,21,1536
729,-404.0,460,0.03,29,1536
730,-358.0,404,0.03,21,1536
731,-362.0,412,0.03,20,1536
732,-397.0,451,0.03,21,1536
733,-344.0,400,0.03,24,1536
734,-311.0,359,0.03,18,1537
735,-305.0,361,0.03,22,1537
736,-329.0,377,0.03,22,1538
737,-414.0,460,0.03,21,1538
738,-341.0,407,0.03,23,1540
739,-336.0,388,0.03,20,1540
740,-377.0,419,0.03,20,1540
741,-390.0,444,0.03,21,1540
742,-249.0,295,0.03,15,1540
743,-390.0,438,0.03,21,1540
744,-344.0,394,0.03,22,1540
745,-371.0,421,0.03,21,1540
746,-408.0,450,0.03,19,1541
747,-333.0,385,0.03,26,1542
748,-252.0,300,0.03,28,1545
749,-419.0,461,0.03,18,1545
750,-394.0,442,0.03,22,1545
751,-314.0,358,0.03,17,1545
752,-431.0,477,0.03,20,1545
753,-328.0,386,0.03,26,1547
754,-334.0,382,0.03,27,1553
755,-397.0,453,0.03,28,1553
756,-448.0,498,0.03,23,1553
757,-380.0,422,0.03,19,1553
758,-320.0,386,0.03,26,1554
759,-417.0,465,0.03,23,1554
760,-318.0,362,0.03,19,1554
761,-295.0,359,0.03,25,1554
762,-420.0,470,0.03,22,1555
763,-287.0,331,0.03,21,1557
764,-388.0,430,0.03,19,1559
765,-291.0,337,0.03,22,1563
766,-263.0,305,0.03,18,1564
767,-335.0,389,0.03,25,1567
768,-332.0,384,0.03,22,1567
769,-374.0,424,0.03,20,1569
770,-278.0,328,0.03,26,1573
771,-76.0,110,0.03,20,1576
772,-340.0,392,0.03,21,1577
773,-326.0,370,0.03,19,1577
774,-449.0,501,0.03,23,1577
