episode,reward,total_burned,epsilon,steps,q_table_size
1,-394.0,442,0.99,24,13
2,-273.0,319,0.9801,31,28
3,-360.0,416,0.9703,29,40
4,-342.0,376,0.9606,24,55
5,-367.0,411,0.951,22,65
6,-189.0,231,0.9415,26,79
7,-503.0,563,0.9321,23,90
8,-349.0,389,0.9227,20,99
9,-512.0,550,0.9135,24,110
10,-370.0,420,0.9044,27,118
11,-399.0,449,0.8953,23,123
12,-444.0,502,0.8864,28,128
13,-347.0,391,0.8775,29,139
14,-420.0,462,0.8687,26,150
15,-412.0,462,0.8601,25,157
16,-405.0,457,0.8515,27,165
17,-465.0,507,0.8429,22,171
18,-447.0,501,0.8345,26,175
19,-377.0,415,0.8262,23,182
20,-353.0,397,0.8179,28,194
21,-407.0,457,0.8097,26,200
22,-377.0,425,0.8016,22,203
23,-384.0,440,0.7936,35,213
24,-313.0,351,0.7857,18,217
25,-413.0,439,0.7778,34,231
26,-439.0,483,0.77,22,236
27,-273.0,325,0.7623,26,248
28,-288.0,322,0.7547,37,263
29,-389.0,425,0.7472,24,266
30,-231.0,273,0.7397,23,273
31,-317.0,365,0.7323,28,278
32,-392.0,438,0.725,23,282
33,-375.0,429,0.7177,23,286
34,-226.0,250,0.7106,21,295
35,-352.0,396,0.7034,25,305
36,-338.0,382,0.6964,21,307
37,-444.0,488,0.6894,25,313
38,-374.0,420,0.6826,22,319
39,-341.0,393,0.6757,23,322
40,-343.0,399,0.669,31,334
41,-488.0,540,0.6623,29,339
42,-317.0,363,0.6557,31,350
43,-391.0,453,0.6491,23,352
44,-262.0,310,0.6426,26,357
45,-285.0,329,0.6362,21,367
46,-352.0,410,0.6298,22,370
47,-319.0,359,0.6235,26,381
48,-424.0,476,0.6173,21,384
49,-370.0,414,0.6111,21,386
50,-446.0,496,0.605,26,387
51,-435.0,491,0.599,25,392
52,-269.0,315,0.593,23,402
53,-338.0,396,0.587,20,404
54,-279.0,323,0.5812,26,412
55,-267.0,309,0.5754,20,422
56,-484.0,528,0.5696,29,428
57,-306.0,346,0.5639,21,433
58,-363.0,425,0.5583,26,439
59,-450.0,502,0.5527,23,441
60,-530.0,580,0.5472,24,445
61,-419.0,461,0.5417,28,451
62,-438.0,494,0.5363,25,455
63,-413.0,469,0.5309,24,458
64,-320.0,372,0.5256,27,465
65,-415.0,457,0.5203,25,467
66,-367.0,419,0.5151,20,469
67,-373.0,421,0.51,21,471
68,-228.0,270,0.5049,16,484
69,-286.0,328,0.4998,23,486
70,-305.0,355,0.4948,22,492
71,-363.0,401,0.4899,22,496
72,-421.0,469,0.485,21,497
73,-346.0,392,0.4801,22,502
74,-285.0,319,0.4753,16,505
75,-412.0,478,0.4706,22,506
76,-296.0,328,0.4659,21,515
77,-360.0,410,0.4612,18,517
78,-346.0,386,0.4566,20,527
79,-327.0,369,0.452,23,528
80,-325.0,385,0.4475,24,530
81,-341.0,389,0.443,25,536
82,-425.0,475,0.4386,26,537
83,-42.0,66,0.4342,16,540
84,-415.0,461,0.4299,22,541
85,-412.0,460,0.4256,21,544
86,-117.0,143,0.4213,20,548
87,-375.0,425,0.4171,28,551
88,-288.0,338,0.4129,25,555
89,-493.0,547,0.4088,24,559
90,-381.0,427,0.4047,21,562
91,-285.0,343,0.4007,26,564
92,-422.0,464,0.3967,18,565
93,-323.0,375,0.3927,21,567
94,-219.0,249,0.3888,23,572
95,-347.0,403,0.3849,20,574
96,-458.0,508,0.381,21,576
